animal_id,animal_subid,animal_area_pkid,animal_shelter_pkid,animal_place,animal_kind,animal_Variety,animal_sex,animal_bodytype,animal_colour,animal_age,animal_sterilization,animal_bacterin,animal_foundplace,animal_title,animal_status,animal_remark,animal_caption,animal_opendate,animal_closeddate,animal_update,animal_createtime,shelter_name,album_file,album_update,cDate,shelter_address,shelter_tel
465407,LAABG115042714,17,76,高雄市燕巢動物保護關愛園區,狗,混種犬          ,M,MEDIUM,黑色,CHILD,T,F,,,OPEN,,,2026/8/21,2999/12/31,2026/9/5,2026/8/21,高雄市燕巢動物保護關愛園區,https://www.pet.gov.tw/upload/pic/1787297290387.png,,2026/9/5,高雄市燕巢區師大路98號,(07)6051002
465405,LAABG115042107,17,76,高雄市燕巢動物保護關愛園區,狗,混種犬          ,M,MEDIUM,黑色,CHILD,T,F,,,OPEN,,,2026/8/21,2999/12/31,2026/9/5,2026/8/21,高雄市燕巢動物保護關愛園區,https://www.pet.gov.tw/upload/pic/1787297127596.png,,2026/9/5,高雄市燕巢區師大路98號,(07)6051002
465404,LAABG115041305,17,76,高雄市燕巢動物保護關愛園區,狗,混種犬          ,M,MEDIUM,黑色,CHILD,T,F,,,OPEN,,,2026/8/21,2999/12/31,2026/9/5,2026/8/21,高雄市燕巢動物保護關愛園區,https://www.pet.gov.tw/upload/pic/1787297043796.png,,2026/9/5,高雄市燕巢區師大路98號,(07)6051002
465408,LAABG115050503,17,76,高雄市燕巢動物保護關愛園區,狗,混種犬          ,F,SMALL,黑色,CHILD,F,F,,,OPEN,,,2026/8/21,2999/12/31,2026/9/5,2026/8/21,高雄市燕巢動物保護關愛園區,https://www.pet.gov.tw/upload/pic/1787297382680.png,,2026/9/5,高雄市燕巢區師大路98號,(07)6051002
465406,LAABG115042715,17,76,高雄市燕巢動物保護關愛園區,狗,混種犬          ,F,MEDIUM,黑色,CHILD,T,F,,,OPEN,,,2026/8/21,2999/12/31,2026/9/5,2026/8/21,高雄市燕巢動物保護關愛園區,https://www.pet.gov.tw/upload/pic/1787297207626.png,,2026/9/5,高雄市燕巢區師大路98號,(07)6051002
461526,LAABG115042002,17,76,高雄市燕巢動物保護關愛園區,狗,混種犬          ,F,MEDIUM,白色,CHILD,T,F,南寮巷,,OPEN,,,2026/7/7,2999/12/31,2026/9/5,2026/7/7,高雄市燕巢動物保護關愛園區,https://www.pet.gov.tw/upload/pic/1784614868054.png,,2026/9/5,高雄市燕巢區師大路98號,(07)6051002
461527,LAABG115041714,17,76,高雄市燕巢動物保護關愛園區,狗,混種犬          ,F,MEDIUM,白色,CHILD,T,F,南寮路,,OPEN,,,2026/7/6,2999/12/31,2026/9/5,2026/7/6,高雄市燕巢動物保護關愛園區,https://www.pet.gov.tw/upload/pic/1784614998267.png,,2026/9/5,高雄市燕巢區師大路98號,(07)6051002
465403,LAABG115041411,17,76,高雄市燕巢動物保護關愛園區,狗,混種犬          ,F,MEDIUM,黑色,CHILD,T,F,,,OPEN,,,2026/8/21,2999/12/31,2026/9/5,2026/8/21,高雄市燕巢動物保護關愛園區,https://www.pet.gov.tw/upload/pic/1787296955168.png,,2026/9/5,高雄市燕巢區師大路98號,(07)6051002
461172,LAABG115033010,17,76,高雄市燕巢動物保護關愛園區,狗,混種犬          ,F,MEDIUM,花色,ADULT,T,F,東方路一段,,OPEN,,,2026/7/17,2999/12/31,2026/9/5,2026/7/2,高雄市燕巢動物保護關愛園區,https://www.pet.gov.tw/upload/pic/1784280156375.png,,2026/9/5,高雄市燕巢區師大路98號,(07)6051002
461171,LAABG115022516,17,76,高雄市燕巢動物保護關愛園區,狗,混種犬          ,F,MEDIUM,黃色,ADULT,T,F,大仁路,,OPEN,,,2026/7/17,2999/12/31,2026/9/5,2026/7/1,高雄市燕巢動物保護關愛園區,https://www.pet.gov.tw/upload/pic/1784280033621.png,,2026/9/5,高雄市燕巢區師大路98號,(07)6051002
